# code | main visual shape | colors (comma separated) | memory title | visual clue | comparison country
# Additional country content. Focus on what a child can actually see, not inferred symbolism.
eg|horizontal|red,white,black,yellow|A golden eagle on three stripes.|Red, white, black from top to bottom, with a golden eagle in the white stripe.|ye
er|triangle|red,green,blue,yellow|A long red triangle with golden leaves.|A red triangle reaches across green and blue, carrying a yellow olive wreath.|gy
es|horizontal|red,yellow|A wide yellow middle with a shield.|Red above and below a wide yellow stripe. A coat of arms sits toward the left.|at
ee|horizontal|blue,black,white|Blue sky, dark trees, white snow.|Three horizontal stripes: blue at the top, black in the middle, white at the bottom.|bw
et|horizontal|green,yellow,red,blue|A blue circle with a golden star.|Green, yellow, red horizontal stripes, with a yellow star inside a blue circle.|bo
fi|cross|white,blue|A blue cross on a snowy blanket.|A blue cross stretches across white, shifted toward the left.|se
fj|canton|light blue,red,white|A pale-blue sky with a shield.|A little Union Jack in the top left and a shield on the right, all on light blue.|au
fm|stars|light blue,white|Four little stars make a diamond.|Four white stars form a diamond on a plain light-blue background.|so
ga|horizontal|green,yellow,blue|Green, yellow, blue lie down.|Three horizontal stripes: green on top, yellow in the middle, blue at the bottom.|rw
ge|cross|white,red|One big cross and four little ones.|Five red crosses on white: one large central cross and one small cross in each corner.|ch
gh|horizontal|red,yellow,green,black|A black star in a yellow middle.|Red, yellow, green horizontal stripes, with one black star in the middle.|bo
gn|vertical|red,yellow,green|Mali’s colors turn around.|Red, yellow, green standing up. Mali starts with green; Guinea starts with red.|ml
gm|horizontal|red,blue,green,white|Three colors with little white gaps.|Red, blue, green horizontal bands, with thin white stripes around the blue.|ga
gw|stripes|red,yellow,green,black|A black star behind a red door.|A red vertical stripe with a black star sits beside yellow above green.|bj
gq|horizontal|green,white,red,blue|A tiny tree between three stripes.|Green, white, red bands, a blue triangle at the left, and a tree in a shield in the middle.|sd
gr|canton|blue,white|A little cross and nine stripes.|Blue and white stripes, with a white cross inside a blue square at the top left.|fi
gd|border|red,yellow,green|A red frame full of stars.|A red border surrounds green and yellow triangles. A red circle and yellow star sit in the middle.|cm
gt|vertical|light blue,white,green|Blue sides hug a little green bird.|Light blue, white, light blue standing up, with a coat of arms and a quetzal bird in the middle.|hn
gy|triangle|green,yellow,red,white,black|Two arrowheads point across green.|A yellow arrowhead outlined in white holds a smaller red triangle outlined in black, on green.|er
hn|horizontal|light blue,white|Five stars between blue skies.|Blue, white, blue horizontal stripes, with five blue stars in the middle.|sv
hr|horizontal|red,white,blue|A little checkerboard shield.|Red, white, blue horizontal stripes, with a red-and-white checkerboard shield in the center.|rs
ht|horizontal|blue,red,white,green|A tiny picture between blue and red.|Blue on top, red below, and a coat of arms inside a white rectangle in the middle.|li
hu|horizontal|red,white,green|Red, white, green lie down.|Three horizontal stripes: red on top, white in the middle, green below.|bg
ir|horizontal|green,white,red|A red emblem between green and red.|Green, white, red bands with a red emblem in the middle and small writing along the white stripe’s edges.|it
iq|horizontal|red,white,black,green|Green writing in the middle.|Red, white, black horizontal stripes, with green Arabic writing across the white band.|eg
is|cross|blue,red,white|A red cross wearing a white coat.|A red cross with white edges on blue. Norway uses a blue cross on red instead.|no
il|stars|white,blue|A blue star with six points.|A blue six-pointed star on white, between two blue horizontal stripes.|so
jm|diagonal|green,black,yellow|A golden X makes four triangles.|A yellow diagonal cross divides green triangles above and below from black triangles at the sides.|bi
jo|triangle|black,white,green,red|A little white star in a red triangle.|Black, white, green horizontal stripes meet a red triangle with a white seven-pointed star.|ps
kz|sun|blue,yellow|A golden sun with an eagle below.|A yellow sun and eagle on blue, with a yellow decorative stripe down the left edge.|kg
kg|sun|red,yellow|A yellow sun with a little roof inside.|A yellow sun sits on red. Inside the sun, crossing lines picture the top of a yurt.|kz
kh|horizontal|blue,red,white|A white temple on a red path.|A white picture of Angkor Wat sits on a wide red band, between two blue bands.|la
ki|sun|red,blue,white,yellow|A bird flies above a rising sun.|A golden bird and sun on red sit above blue-and-white ocean waves.|ag
kn|diagonal|green,red,black,white,yellow|Two stars riding a black road.|A black diagonal band with yellow edges holds two white stars, between green and red.|tz
kr|circle|white,red,blue,black|A red-and-blue swirl.|A red-and-blue circle sits on white, with four groups of black bars around it.|jp
xk|map|blue,yellow,white|A golden map under six stars.|A yellow country outline sits on blue, below six white stars in an arc.|cy
kw|stripes|green,white,red,black|A black doorway beside three stripes.|Green, white, red horizontal bands, with a black trapezoid on the left.|ae
la|horizontal|red,blue,white|A white moon on a blue night.|A white disc in a wide blue band, between two red bands.|jp
lb|tree|red,white,green|A green cedar standing tall.|A green cedar tree sits on a wide white stripe, between red bands.|ca
lr|canton|red,white,blue|One star above eleven stripes.|Red and white horizontal stripes, with one white star in a blue square at the top left.|us
ly|horizontal|red,black,green,white|A moon in a wide black night.|Red, a wide black middle, and green horizontal bands, with a white crescent and star.|az
lc|triangle|light blue,yellow,black,white|Two pointy mountain shapes.|A yellow triangle overlaps a tall black triangle edged in white, all on light blue.|np
li|horizontal|blue,red,yellow|A little golden crown.|Blue above red, with a yellow crown near the top left.|ht
lk|animal|yellow,red,green,orange|A golden lion holding a sword.|A golden lion on a dark-red panel, beside green and orange stripes, all within a yellow border.|bt
ls|horizontal|blue,white,green,black|A black hat between sky and grass.|Blue, white, green horizontal bands, with a black Basotho hat in the white band.|bw
lt|horizontal|yellow,green,red|Yellow, green, red lie down.|Three horizontal stripes: yellow on top, green in the middle, red at the bottom.|bo
lu|horizontal|red,white,light blue|A pale-blue stripe at the bottom.|Red, white, light blue horizontal stripes. Its blue is lighter than the Netherlands’ blue.|nl
lv|horizontal|maroon,white|A thin white path through dark red.|Two dark-red bands surround a narrower white stripe. Austria’s bands are equal in width.|at
ma|stars|red,green|A green star drawn on red.|One green five-pointed outlined star on a red background.|cn
mc|horizontal|red,white|Two stripes in a shorter rectangle.|Red on top, white below, just like Indonesia. Monaco’s flag is less wide for its height.|pl
md|vertical|blue,yellow,red|An eagle on the middle stripe.|Blue, yellow, red standing up, with a coat of arms in the yellow band.|ro
mg|stripes|white,red,green|A white door beside red and green.|White stands on the left. Red sits above green on the right.|bj
mv|border|red,green,white|A white moon in a green window.|A green rectangle with a white crescent sits inside a wide red border.|pk
mh|diagonal|blue,orange,white|Two bright rays cross a blue sky.|Orange and white diagonal rays widen toward the top right. A white star sits at the top left.|na
mk|sun|red,yellow|A sun that reaches every edge.|A yellow sun in the center sends eight broad rays across a red flag.|kg
ml|vertical|green,yellow,red|Green, yellow, red stand tall.|Three standing stripes: green on the left, yellow in the middle, red on the right. No star.|gn
mt|vertical|white,red|A tiny cross in a white corner.|White on the left, red on the right, with a small George Cross at the top left.|pl
mm|horizontal|yellow,green,red,white|One big white star.|Yellow, green, red horizontal bands, with a large white star in the middle.|gh
me|border|red,yellow|An eagle in a golden frame.|A golden border around red, with a golden double-headed eagle in the center.|al
mn|vertical|red,blue,yellow|A golden symbol on a red stripe.|Red, blue, red standing up, with a yellow Soyombo symbol on the left red stripe.|kz
mz|triangle|green,black,yellow,white,red|A star with a book and tools.|Green, black, yellow bands with thin white gaps. A red triangle holds a yellow star and an emblem.|zw
mr|horizontal|red,green,yellow|A golden moon smiles upward.|A yellow crescent and star on green, with red stripes at the top and bottom.|pk
mu|horizontal|red,blue,yellow,green|Four colors make a rainbow stack.|Four horizontal stripes: red, blue, yellow, green from top to bottom.|cf
mw|horizontal|black,red,green|A red sunrise in a dark sky.|Black, red, green horizontal bands, with a red rising sun in the top black band.|gh
my|canton|red,white,blue,yellow|A moon and star above many stripes.|Red and white stripes, with a yellow crescent and many-pointed star in the blue top-left corner.|us
na|diagonal|blue,red,green,white,yellow|A sun beside a bright red road.|A red diagonal band with white edges separates blue with a yellow sun from green.|cd
ne|horizontal|orange,white,green|An orange sun between three stripes.|Orange, white, green horizontal bands, with an orange circle in the middle.|in
ni|horizontal|blue,white|A tiny rainbow inside a triangle.|Blue, white, blue horizontal stripes, with a triangular coat of arms in the middle.|hn
nl|horizontal|red,white,blue|Red, white, blue lie down.|Three horizontal stripes: red on top, white in the middle, dark blue at the bottom.|ru
no|cross|red,blue,white|A blue cross in a white coat.|A blue cross with white edges on red. Iceland swaps the red and blue.|is
nr|stars|blue,yellow,white|A white star below a yellow line.|One thin yellow line crosses a dark-blue flag. A white many-pointed star sits below it on the left.|fm
om|stripes|white,red,green|A red door with a tiny emblem.|A red vertical stripe at the left, beside white, red, and green bands. A white emblem sits at the top left.|ae
pk|crescent|green,white|A white moon on a green night.|A white vertical stripe at the left, beside a green field with a white crescent and star.|dz
pa|quartered|white,red,blue|Four boxes and two stars.|Four quarters: white with a blue star, red, blue, and white with a red star.|do
pe|vertical|red,white|A white path between red doors.|Three standing stripes: red, white, red. This plain version has no emblem.|ca
ph|triangle|blue,red,white,yellow|A golden sun and three little stars.|Blue above red, with a white triangle holding a golden sun and three stars.|cu
pw|circle|light blue,yellow|A golden moon in a blue sky.|A yellow disc sits slightly left of center on a light-blue background.|bd
pg|diagonal|red,black,yellow,white|A golden bird and five white stars.|A diagonal split: a golden bird on the red upper half, white stars on the black lower half.|sb
kp|horizontal|red,blue,white|A red star inside a white circle.|A wide red band with thin white edges between blue bands. A white circle with a red star sits to the left.|la
pt|vertical|green,red,yellow|A shield on a golden globe.|Green on the left and a wider red field on the right, with an emblem across their meeting line.|bd
py|horizontal|red,white,blue|Three stripes with a little seal.|Red, white, blue horizontal bands with a seal in the middle. The seal is different on the back!|nl
ps|triangle|black,white,green,red|A plain red triangle points right.|Black, white, green horizontal stripes meet a red triangle. Unlike Jordan, it has no star.|jo
qa|serrated|maroon,white|Nine white teeth meet dark red.|White on the left, with nine points against a maroon field. The flag is very long and narrow.|bh
ro|vertical|blue,yellow,red|Blue, yellow, red stand tall.|Three standing stripes: blue on the left, yellow in the middle, red on the right.|md
ru|horizontal|white,blue,red|White, blue, red lie down.|White on top, blue in the middle, red at the bottom. The order differs from the Netherlands.|nl
rw|horizontal|light blue,yellow,green|A little sun in a big blue sky.|A wide light-blue top band with a yellow sun, above narrower yellow and green bands.|ga
sa|text|green,white|White writing above a sword.|White Arabic calligraphy and a white sword on a green background.|af
sd|triangle|red,white,black,green|A green triangle beside three stripes.|A green triangle points into red, white, and black horizontal bands.|ps
sn|vertical|green,yellow,red|A green star in the yellow middle.|Green, yellow, red standing up, with a green star in the middle stripe.|ml
sg|horizontal|red,white|A moon with five tiny stars.|Red above white, with a white crescent and five white stars in the upper-left red band.|id
sb|diagonal|blue,green,yellow,white|A yellow path and five white stars.|A thin yellow diagonal separates blue above from green below. Five white stars sit on blue.|pg
sl|horizontal|green,white,blue|Green, white, blue lie down.|Three horizontal stripes: green on top, white in the middle, blue below.|ga
sv|horizontal|blue,white|A little coat of arms between blues.|Blue, white, blue horizontal stripes, with a coat of arms and words around it in the middle.|hn
sm|horizontal|white,light blue|Three little towers on a shield.|White above light blue, with a coat of arms showing three towers in the center.|ht
so|stars|light blue,white|One white star in a blue sky.|A single white five-pointed star in the center of a light-blue flag.|fm
rs|horizontal|red,blue,white|A crowned eagle beside three stripes.|Red, blue, white horizontal stripes, with a crowned coat of arms toward the left.|hr
ss|triangle|black,red,green,white,blue,yellow|A yellow star in a blue triangle.|Black, red, green bands with thin white gaps meet a blue triangle holding a yellow star.|sd
st|horizontal|green,yellow,red,black|Two black stars share a stripe.|Green, yellow, green horizontal bands, with two black stars on yellow and a red triangle at the left.|gh
sr|horizontal|green,white,red,yellow|A golden star on a wide red path.|Green, white, a wide red middle, white, green, with one yellow star in the center.|gh
sk|horizontal|white,blue,red|A double cross on three hills.|White, blue, red bands with a red shield on the left, showing a white double cross above blue hills.|si
si|horizontal|white,blue,red|Three mountain peaks on a little shield.|White, blue, red bands with a small shield at the top left showing a white mountain and three stars.|sk
sz|horizontal|blue,yellow,red,black,white|A shield in the middle of a red path.|A black-and-white shield and spears on red, with thin yellow stripes and blue outer bands.|ke
sc|diagonal|blue,yellow,red,white,green|Five colors fan out like sunbeams.|Blue, yellow, red, white, green rays spread out from the bottom-left corner.|mu
sy|horizontal|green,white,black,red|Three red stars across the middle.|Green on top, white in the middle, black below, with three red stars on white.|eg
td|vertical|blue,yellow,red|Deep blue, yellow, red stand tall.|Three standing stripes: dark blue, yellow, red. Very similar to Romania, with a darker blue.|ad
tg|stripes|green,yellow,red,white|One white star beside five stripes.|Five green-and-yellow horizontal stripes, with a white star in a red square at the top left.|lr
th|horizontal|red,white,blue|A wide blue road in the middle.|Red, white, a wide blue middle, white, red. Costa Rica has a wide red middle instead.|cr
tj|horizontal|red,white,green,yellow|A little crown with seven stars.|Red, a wide white middle, and green, with a yellow crown and seven stars on white.|hu
tm|pattern|green,red,white|A carpet ribbon beside a moon.|A red decorative carpet stripe runs down green, beside a white crescent and five stars.|pk
tl|triangle|red,yellow,black,white|A white star in a black arrowhead.|A black triangle with a white star overlaps a larger yellow triangle, all on red.|gy
to|canton|red,white|A little red cross in a white corner.|A red flag with a white rectangle at the top left containing a red cross.|ch
tt|diagonal|red,black,white|A black slide across red.|A black diagonal stripe with thin white edges runs from the top left to bottom right on red.|cd
tn|crescent|red,white|A red moon inside a white circle.|A white circle on red holds a red crescent and star.|tr
tv|canton|light blue,red,white,yellow|Nine stars scattered on a blue sea.|A Union Jack at the top left of a light-blue flag, with nine yellow stars on the right.|fj
tw|canton|red,blue,white|A white sun in a blue corner.|A red field with a blue top-left rectangle containing a white sun.|cn
tz|diagonal|green,blue,black,yellow|A black road between grass and sea.|A black diagonal band with yellow edges separates green at the top left from blue at the bottom right.|na
ug|horizontal|black,yellow,red,white|A crane in a circle.|Six horizontal stripes repeating black, yellow, red, with a crested crane in a white circle.|ke
ua|horizontal|blue,yellow|A blue sky over golden fields.|Two horizontal bands: blue above yellow. Imagine sky above a field of wheat.|pl
uy|canton|white,blue,yellow|A little sun beside nine stripes.|Nine white-and-blue horizontal stripes, with a golden sun in a white square at the top left.|ar
uz|horizontal|blue,white,green,red|A moon and twelve little stars.|Blue, white, green horizontal bands divided by thin red lines. A white crescent and stars sit on blue.|az
va|vertical|yellow,white|Two keys beside a golden stripe.|A square flag: yellow on the left and white on the right, with crossed keys and a papal tiara.|ch
vc|vertical|blue,yellow,green|Three green diamonds make a V.|Blue, a wide yellow middle, and green standing up. Three green diamonds form a V on yellow.|br
ve|horizontal|yellow,blue,red,white|Eight white stars make a rainbow.|Yellow, blue, red horizontal stripes, with eight white stars in an arc on the blue band.|co
vn|stars|red,yellow|One big yellow star.|A single yellow five-pointed star in the middle of a red background.|cn
vu|y|red,green,black,yellow|A yellow Y splits red and green.|A yellow Y with black edges separates red above from green below. A black triangle holds a yellow emblem.|za
ws|canton|red,blue,white|Five stars in a little blue window.|A red flag with a blue square at the top left containing five white stars.|tw
ye|horizontal|red,white,black|Three plain stripes. No picture!|Red, white, black from top to bottom, with no emblem or writing.|eg
zm|animal|green,red,black,orange|An eagle above three little stripes.|A green field, with an orange eagle above red, black, and orange vertical stripes at the lower right.|zw
zw|stripes|green,yellow,red,black,white|A golden bird inside a white arrowhead.|Seven horizontal stripes meet a white triangle with a red star and a golden Zimbabwe bird.|mz
